Area,Bedrooms,Age,Price
3221,7,I,221614
2723,7,9,397043
3745,H,11,340408
2908,7,6,348994
3909,6,1,320214
1434,3,3,335810
3948,F,6,488348
1618,3,9,433723
3012,3,4,291037
1723,4,2,436418
1948,7,12,232751
3037,5,11,308812
2775,7,10,249976
3434,3,5,230074
1497,2,12,497069
E,7,1,195829
1314,5,11,281552
2952,7,J,357813
1756,2,15,300208
1334,2,3,244251
1260,5,13,478239
3915,5,2,414112
2323,2,6,428282
2942,2,11,164395
G,2,F,203825
I,7,15,319992
1320,3,3,210905
1831,5,2,107842
3799,7,2,120998
2314,3,2,153311
1154,6,15,316273
2793,6,12,189083
2568,5,3,274150
2404,6,9,193931
2681,2,14,333890
3947,6,6,311657
F,3,1,256759
1131,4,1,465955
1749,2,2,490379
1379,3,14,132664
D,7,13,145031
1864,4,C,209237
2618,6,5,491656
3398,7,9,328775
3520,4,12,267958
H,2,11,229701
1067,3,2,288069
1560,3,1,147921
G,H,15,204378
2676,B,6,227307
